what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342770236156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770237015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1342770237031
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342770238484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342770239281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770240671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770254640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342770269984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770358843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770358843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770358937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770360265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770405859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772197796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342772207062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772218421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772238171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772244359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772253031
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772253031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772253078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772284718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772286093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772289250
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342772291484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342772309046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342772310546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342772319640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342772322312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1342772328750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772328984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772331953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772335828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772340000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342772340984
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1342772341281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772341531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772341750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772342000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772342234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772342484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772342921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772343250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772343640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342772351578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342772354500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342772363781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1342772381687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772398250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772399890
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772399906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772399953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772414031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1342772427968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342772428375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772432656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772455750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772456578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772462093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772463265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772465265
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772465296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772465359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772473203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772484250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772502031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772518015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772519203
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772519234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772519312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772526390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772557421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772559046
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772559078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772559125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772562593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772572203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772573953
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772573968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772574015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772589140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772590640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772591343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772592328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772595171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342772604531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342772606671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342772608421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342772609890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772621218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772622765
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342772622796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772622859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772629875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772669578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342772670453
